PRODUCT,HOME PAGE,PRODUCT CATEGORY,PRODUCT DESCRIPTION,AFFILIATED GITHUB REPOSITORIES
3DMIN's PushPull,http://www.3dmin.org/research/open-development-and-design/pushpull/,Musical Instruments and Games and Toys and Arts and Crafts and Educational Equipment and Materials and Accessories and Supplies,musical instrument,3DMIN/pushpull-kicad
3D-printable micropipette,http://biorxiv.org/content/early/2017/02/20/109231,Laboratory and Measuring and Observing and Testing Equipment,Micropipette,Biological-Microsystems-Laboratory/micropipette
3d-printed-oxygen-control-insert,https://github.com/Biological-Microsystems-Laboratory/3d-printed-oxygen-control-insert,Laboratory and Measuring and Observing and Testing Equipment,microfluidic device,Biological-Microsystems-Laboratory/3d-printed-oxygen-control-insert
Aeroquad,http://aeroquad.com/content.php,Musical Instruments and Games and Toys and Arts and Crafts and Educational Equipment and Materials and Accessories and Supplies,quadcopter,AeroQuad/FlightControlBoards
AeroSeeD micro-eolienne,https://github.com/aeroseed/urbolienne,Power Generation and Distribution Machinery and Accessories,wind turbine,aeroseed/urbolienne
AFRo,http://www.remap.org.uk/,Medical Equipment and Accessories and Supplies,Assisted Feeding Robot,Axford/AFRo;Axford/AFRo2
AguaClara,http://www.aguaclarallc.com/,Cleaning Equipment and Supplies,water treatment plant,
Ai.Frame Apollo,http://aiframe.me/product/107?language=en,Musical Instruments and Games and Toys and Arts and Crafts and Educational Equipment and Materials and Accessories and Supplies,humanoid robot,
Air Quality Egg,http://airqualityegg.com/,Laboratory and Measuring and Observing and Testing Equipment,air measuring device,
Aker wormhouse,https://www.akerkits.com/,Farming and Fishing and Forestry and Wildlife Machinery and Accessories,wormhouse kit for urban gardening,AKERKits/GrowSquare;AKERKits/Husky-Planter-Large;AKERKits/Husky-Planter-Medium;AKERKits/Husky-Planter-Small;AKERKits/WormHaus;AKERKits/GroWall;AKERKits/GrowGrid;AKERKits/EggHaus;AKERKits/V-Planter-Small;AKERKits/V-Planter-Medium;AKERKits/V-Planter-Large;AKERKits/Boxy-Planter-Large;AKERKits/Boxy-Planter-Medium;AKERKits/Boxy-Planter-Small;AKERKits/Slender-Planter;AKERKits/SideSquare;AKERKits/Hexagon-Planter;AKERKits/CornerSquare
Andre cars,http://www.pureengineering.com/blog/andrecars,Commercial and Military and Private Vehicles and their Accessories and Components,car,
Apertus Axiom Alpha,https://lab.apertus.org/,Printing and Photographic and Audio and Visual Equipment and Supplies,camera,apertus-open-source-cinema/alpha-hardware
Apertus Axiom Beta,https://www.apertus.org/axiom,Printing and Photographic and Audio and Visual Equipment and Supplies,camera,apertus-open-source-cinema/beta-hardware
Aquapioneers Indoor Aquaponics Kit,http://aquapioneers.io/open-source-indoor-aquaponics-kit/,Farming and Fishing and Forestry and Wildlife Machinery and Accessories,aquaponic systems,aquapioneers/monitoring-kit-hardware;aquapioneers/Aquapioneers-Kit-Barcelona-Design
Arbalet,https://github.com/arbalet-project/arbadoc/wiki,Furniture and Furnishings,LED table,arbalet-project/arbadoc
ArcBotics Humanoid,https://github.com/ArcBotics/Humanoid,Musical Instruments and Games and Toys and Arts and Crafts and Educational Equipment and Materials and Accessories and Supplies,educational robot,ArcBotics/Humanoid
ArcBotics Sparky,http://arcbotics.com/products/sparki/,Musical Instruments and Games and Toys and Arts and Crafts and Educational Equipment and Materials and Accessories and Supplies,educational robot,ArcBotics/Sparki
Archivist,http://diybookscanner.org/archivist/index.html,Office Equipment and Accessories and Supplies,book scanner,
ArduCopter,http://ardupilot.org/copter/,Musical Instruments and Games and Toys and Arts and Crafts and Educational Equipment and Materials and Accessories and Supplies,quadcopter,
Automated external defibrillator,https://github.com/CentroEPiaggio/Open-Automated-External-Defibrillator,Medical Equipment and Accessories and Supplies,Automated external defibrillator,CentroEPiaggio/Open-Automated-External-Defibrillator
Automatic Bartender,http://www.open-electronics.org/the-drink-maker-open-sourcing-your-cocktail/,Domestic Appliances and Supplies and Consumer Electronic Products,drink making robot,
axCut,http://axrap.blogspot.de/,Industrial Manufacturing and Processing Machinery and Accessories,laser cutter,Axford/axCut
Basiswerk OM 10 clockwork,http://www.openmovement.org/,Domestic Appliances and Supplies and Consumer Electronic Products,clockwork,
BCN3D Moveo,https://www.bcn3dtechnologies.com/en/bcn3d-moveo-the-future-of-learning/,Industrial Manufacturing and Processing Machinery and Accessories,robot arm,BCN3D/BCN3D-Moveo
BCN3D Sigma,https://www.bcn3dtechnologies.com/en/sigma-getting-started/,Industrial Manufacturing and Processing Machinery and Accessories,3D printer,BCN3D/BCN3DSigma-Mechanics;BCN3D/BCN3DSigma-Process;BCN3D/BCN3DSigma-Electronics;BCN3D/Hotend-Test-Bench;BCN3D/Stepper-Driver-testbench
Bicitractor,http://www.instructables.com/id/BICITRACTOR-B300-POC21-Version/,Farming and Fishing and Forestry and Wildlife Machinery and Accessories,pedal-powered tractor,
Bicycle mill,http://www.mayapedal.org/machines.en,Industrial Manufacturing and Processing Machinery and Accessories,pedal-powered milling machine,
BioNico,https://www.wevolver.com/wevolver.staff/bionico/main/description/,Medical Equipment and Accessories and Supplies,prosthetic hand,
blink1,https://blink1.thingm.com/,Office Equipment and Accessories and Supplies,USB RGB LED notification light,todbot/blink1;todbot/BlinkM0;todbot/blink1-adapters;todbot/blinkm_mk2;todbot/CtrlM;todbot/FreeM;todbot/blinkm_xbee_adapter
Bloombot,http://bloombot.wikidot.com/,Farming and Fishing and Forestry and Wildlife Machinery and Accessories,hydroponic gardening system,
"c,mm,n","http://wiki.p2pfoundation.net/C,mm,n",Commercial and Military and Private Vehicles and their Accessories and Components,car,
Carla Cargo,http://www.carlacargo.de/de/,Commercial and Military and Private Vehicles and their Accessories and Components,cargo bikes,
